ForAndrTyp	COAdress	Foretagsnamn	FtgStat	Gatuadress	JEStat	JurForm	Namn	Ng1	Ng2	Ng3	Ng4	Ng5	PeOrgNr	PostNr	PostOrt	RegDatKtid	Reklamsparrtyp	mCOAdress	mForetagsnamn	mFtgStat	mGatuadress	mJEStat	mJurForm	mNamn	mNg1	mNg2	mNg3	mNg4	mNg5	mPostNr	mPostOrt	mRegDatKtid	mReklamsparrtyp	
1	DEMO PERSON 6403		0	VON POSTS VÄG 5	1	71	DEMO ENTITY 2249	64993					161020159248	44448	STENUNGSUND	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	BOX 2022	1	71	DEMO ENTITY 1612	64993					161020159255	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 2590		0	VON POSTS VÄG 5	1	71	DEMO ENTITY 6033	64993					161020159263	44448	STENUNGSUND	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 4257		1	VÄSTRA ALLÉN 2	1	71	DEMO ENTITY 0675	64993					161020159271	25451	HELSINGBORG	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 1072		0	VENDEVÄGEN 11 E LGH 1101	1	71	DEMO ENTITY 5466	00000					161020159297	18269	DJURSHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 9585		1		1	71	DEMO ENTITY 4682	64993					161020159305	10670	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022  RIDDARHUSET	1	71	DEMO ENTITY 9752	64993					161020159362	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	BOX 2022	1	71	DEMO ENTITY 8878	94990					161020159370	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 7908		0	RÖDBOSUNDSVÄGEN 22	1	71	DEMO ENTITY 4229	64993					161020159412	18460	ÅKERSBERGA	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	BOX 2022	1	71	DEMO ENTITY 1452	64993					161020159438	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 1864		0	SVERKILSVÄGEN 29	1	71	DEMO ENTITY 9453	64993					161020159446	54155	SKÖVDE	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
